"","ecstart","ecend","salstart","salend"
"3","24822","25076","56292","56558"
"4","25679","25823","57161","57341"
"5","29280","29336","74922","75565"
"6","111412","111662","161914","162270"
"7","138629","138835","198138","198220"
"8","159151","159164","215296","215411"
"9","164532","164651","220781","220844"
"10","167264","167307","223445","223561"
"11","174935","175000","238545","238554"
"12","176975","177001","240529","240609"
"13","188664","188712","252828","253052"
"14","189616","189662","253966","254080"
"15","231951","231956","299049","299274"
"16","240190","240859","352489","352597"
"17","254191","254259","360806","360973"
"18","346378","346511","415526","415703"
"19","346759","346858","415951","416113"
"20","346934","347041","416188","416301"
"21","356132","356309","3503048","3503213"
"22","389796","390108","424720","425021"
"23","408461","409108","442891","442929"
"24","412487","412606","446074","446240"
"25","413238","414008","446872","447636"
"26","426068","426100","460617","460786"
"27","430948","431131","466904","467539"
"28","437098","437161","473489","473599"
"29","472398","472568","520293","520495"
"30","476576","477116","524552","524626"
"31","478663","478793","526173","526826"
"32","480855","481205","528900","529199"
"33","496995","497019","545801","545890"
"34","497821","497978","546687","546837"
"35","501429","501572","550301","550360"
"36","506565","506601","555285","555401"
"37","557825","558289","603653","604207"
"38","558756","559037","604674","605388"
"39","559629","559802","605980","606156"
"40","610060","610252","641493","641556"
"41","610957","611632","2924250","2924922"
"42","618016","618237","649324","649579"
"43","624540","624857","655974","656231"
"44","637664","637864","668994","669299"
"45","638701","638733","670136","670239"
"46","643280","643497","679215","679286"
"47","691818","691881","732643","732779"
"48","696617","696664","738414","738640"
"49","697134","697513","738324","738939"
"50","699375","699573","740799","740892"
"51","707757","708136","749088","749344"
"52","762810","762967","805848","805863"
"53","772391","772748","1891326","1891683"
"54","772911","773042","1891846","1891949"
"55","773481","773915","1892388","1892819"
"56","774764","774765","812959","813040"
"57","780660","780729","2969730","2970063"
"58","780951","781016","2969728","2970063"
"59","781060","781130","2529020","2529069"
"60","781474","781545","2969863","2970061"
"61","819747","819872","873341","873377"
"62","826109","826120","880720","880836"
"63","845524","845745","894668","894746"
"64","857551","857796","908804","908933"
"65","918645","919310","1018032","1018689"
"66","934394","934655","1038534","1038763"
"67","939358","939406","1043554","1043770"
"68","942157","942874","4553050","4553777"
"69","980787","980868","1084676","1084839"
"70","984316","984519","1088363","1088406"
"71","1031508","1031837","1175017","1175197"
"72","1038350","1039034","810139","810823"
"73","1044388","1044597","2201229","2201438"
"74","1074870","1074920","1207136","1207597"
"75","1105281","1105811","1232467","1233004"
"76","1108977","1109099","1236182","1236184"
"77","1141063","1141218","1268176","1268390"
"78","1190526","1190616","1319441","1319487"
"79","1194300","1194346","1323221","1323608"
"80","1285118","1285328","1665939","1666137"
"81","1286886","1287183","1852825","1853174"
"82","1287064","1287480","1852825","1853348"
"83","1287361","1287480","1853292","1853523"
"84","1409998","1410387","886082","886474"
"85","1436191","1436362","365363","365504"
"86","1537168","1537352","1856722","1856918"
"87","1542590","1542694","1862156","1862566"
"88","1545866","1545919","1090704","1090760"
"89","1606969","1606995","4289020","4289105"
"90","1713265","1713587","3762089","3762411"
"91","1909177","1909310","1937473","1937673"
"92","1926776","1926799","1971728","1971816"
"93","1928841","1929065","1973858","1974086"
"94","1929795","1930042","1974814","1974830"
"95","1944199","1944347","1988975","1989055"
"96","1988516","1988588","2029110","2029258"
"97","1992042","1992119","4596495","4596882"
"98","1996912","1997061","2040460","2040611"
"99","2002359","2003119","2047904","2048658"
"100","2004081","2004677","2049611","2050210"
"101","2005670","2006162","2051187","2051673"
"102","2028029","2028219","2071467","2071654"
"103","2033087","2033293","2076536","2076803"
"104","2033373","2033820","2076883","2077348"
"105","2037504","2038176","1182993","1183670"
"106","2061933","2062145","2083934","2084104"
"107","2079410","2079456","2134031","2134149"
"108","2080593","2080803","2135288","2135413"
"109","2089203","2089918","2149332","2149340"
"110","2097221","2097340","2156747","2156857"
"111","2120158","2120162","2185439","2185574"
"112","2143042","2143252","2208294","2208516"
"113","2146576","2146705","2211513","2211522"
"114","2191558","2192156","2246999","2247561"
"115","2192373","2193059","2247777","2248465"
"116","2211686","2211748","2252471","2253249"
"117","2222105","2222124","2263587","2263677"
"118","2226354","2226510","2267937","2268003"
"119","2228899","2228925","2270404","2270525"
"120","2229061","2229450","2270662","2270727"
"121","2236499","2236747","2283862","2283942"
"122","2240439","2240514","2287703","2287983"
"123","2270616","2270720","2314303","2314550"
"124","2282845","2282940","2326761","2327474"
"125","2291137","2291391","2347339","2347405"
"126","2316827","2317035","2370644","2370752"
"127","2347239","2347384","2383771","2383798"
"128","2349866","2349957","2387387","2387555"
"129","2365527","2365730","2403576","2403783"
"130","2393044","2393202","2427350","2427658"
"131","2406733","2407453","2441160","2441887"
"132","2421243","2421718","2461035","2461196"
"133","2439199","2439613","4671447","4671861"
"134","2495306","2495496","2514054","2514325"
"135","2495575","2495581","2514403","2514495"
"136","2511311","2511470","2523642","2523724"
"137","2518054","2518224","2532020","2532082"
"138","2539584","2539663","2552563","2552577"
"139","2568135","2568331","2571278","2571377"
"140","2617937","2618076","2609833","2609861"
"141","2620932","2621117","2612726","2612994"
"142","2691397","2691656","2707904","2708254"
"143","2697324","2697373","2713914","2714026"
"144","2699923","2700619","2721950","2722063"
"145","2707302","2707347","2777238","2777339"
"146","2740686","2740803","1425986","1426103"
"147","2743593","2744114","2814700","2814793"
"148","2753935","2754018","2825404","2825588"
"149","2798031","2798084","2946861","2947218"
"150","2824446","2824498","2976596","2976982"
"151","2841298","2842016","3209609","3210342"
"152","2854263","2854300","3003482","3003664"
"153","2860063","2860282","3049074","3049293"
"154","2891925","2891994","3092537","3092712"
"155","2918902","2919165","3112760","3113023"
"156","2927672","2928041","3120206","3120586"
"157","2945882","2946069","3139689","3139746"
"158","2970339","2970376","3164058","3164214"
"159","3029271","3029396","2589865","2589990"
"160","3043624","3043669","3209149","3209308"
"161","3049084","3049160","3215053","3215173"
"162","3059365","3059700","3225477","3225541"
"163","3068914","3068963","3228329","3228440"
"164","3087862","3088145","3252849","3253198"
"165","3098403","3098558","3264250","3264341"
"166","3150546","3150818","3319464","3319577"
"167","3165465","3165658","2375833","2376023"
"168","3171834","3172426","3342804","3342807"
"169","3173441","3173501","3343822","3343959"
"170","3199641","3199660","3366883","3366997"
"171","3203122","3203314","3370452","3370571"
"172","3211089","3211100","3374365","3374499"
"173","3216573","3216700","3380005","3380085"
"174","3236468","3236533","3390085","3390218"
"175","3239530","3239762","3393227","3393318"
"176","3252994","3253318","3399691","3400012"
"177","3258865","3259581","2293267","2293980"
"178","3303366","3303374","3442154","3442258"
"179","3313226","3313342","3453444","3453610"
"180","3318210","3318289","3141143","3141170"
"181","3378871","3378876","3513462","3513548"
"182","3386129","3386175","3529828","3529951"
"183","3390449","3390583","3534227","3534350"
"184","3392054","3392426","3535821","3535908"
"185","3409951","3410161","3554610","3555152"
"186","3416528","3417173","2595142","2595784"
"187","3426955","3427026","2531915","2532082"
"188","3477891","3477903","3606159","3606311"
"189","3515979","3516000","3639592","3639687"
"190","3519217","3519354","3642903","3643103"
"191","3521183","3521459","3644934","3645240"
"192","3521660","3521997","3645441","3645778"
"193","3525448","3525595","3649231","3649310"
"194","3530653","3531223","3654368","3654973"
"195","3555786","3555885","3679601","3680395"
"196","3560624","3560627","3687224","3687305"
"197","3564958","3565427","3674731","3675191"
"198","3565651","3566166","3675415","3675921"
"199","3575160","3575706","3710016","3710143"
"200","3639132","3639330","3759983","3760098"
"201","3640546","3640798","3761290","3761550"
"202","3670680","3671152","1896137","1896609"
"203","3671998","3672337","3780172","3780625"
"204","3674368","3674565","3782694","3782832"
"205","3680341","3680444","3788502","3788563"
"206","3685698","3685700","3793800","3793894"
"207","3701855","3701870","3810254","3810345"
"208","3702763","3703271","1836516","1837015"
"209","3717199","3717300","3833458","3833677"
"210","3721742","3722271","3839590","3839709"
"211","3736132","3736351","3849305","3849389"
"212","3740949","3741128","3853976","3854038"
"213","3774185","3774352","3877171","3877332"
"214","3781013","3781177","3889523","3889552"
"215","3784479","3784559","3896836","3896862"
"216","3790294","3790320","3902607","3902882"
"217","3800135","3800280","3911555","3911779"
"218","3828665","3828797","3941024","3941104"
"219","3832156","3832315","3944463","3944672"
"220","3855228","3855590","4005971","4006366"
"221","3886729","3886827","4048078","4048212"
"222","3910424","3910481","4063476","4063581"
"223","3931296","3931300","4089449","4089578"
"224","3953424","3953463","4111836","4111972"
"225","3967725","3967901","4126892","4127056"
"226","3982605","3982692","4810716","4810747"
"227","3994095","3994188","4150903","4151684"
"228","4050023","4050132","4209191","4209251"
"229","4069637","4069878","4230901","4231103"
"230","4070362","4070516","4231587","4231607"
"231","4075379","4075491","4236465","4236687"
"232","4087133","4087173","4250452","4250537"
"233","4098615","4098634","4259943","4260043"
"234","4108510","4108722","4273288","4273383"
"235","4133506","4133691","4319418","4319438"
"236","4137547","4137932","4322328","4322703"
"237","4153268","4153696","4338137","4338273"
"238","4160840","4161040","4345430","4345498"
"239","4218409","4218533","4404972","4405018"
"240","4223713","4223720","4408119","4408247"
"241","4227596","4227693","4412107","4412249"
"242","4231222","4231359","4416344","4416345"
"243","4233302","4233672","4439888","4440077"
"244","4235402","4235563","4441806","4441901"
"245","4239730","4240246","4446029","4446092"
"246","4253890","4254050","4456084","4456185"
"247","4257722","4257782","4459856","4460021"
"248","4275188","4275603","4501965","4502513"
"249","4278132","4278197","4505075","4505865"
"250","4285231","4285396","4513487","4513698"
"251","4293533","4293591","4522020","4522123"
"252","4297205","4297234","4525253","4525365"
"253","4355585","4355938","776884","777243"
"254","4374245","4374635","4578270","4578547"
"255","4376732","4376812","4580657","4581435"
"256","4409122","4409221","4613530","4613539"
"257","4415891","4416017","4621230","4621281"
"258","4434477","4434622","4639480","4639560"
"259","4436581","4436668","4641518","4641686"
"260","4441370","4441542","4645170","4645206"
"261","4459311","4459488","4683179","4683297"
"262","4460358","4460521","4692426","4692552"
"263","4504654","4505287","1222246","1222935"
"264","4553062","4553435","1586227","1586594"
"265","4560813","4561528","4768542","4769317"
"266","4580351","4580827","4777889","4778392"
"267","4580987","4581429","4778552","4778982"
"268","4586786","4586936","4784294","4784452"
"269","4602868","4603460","4805414","4806100"
"270","4604800","4604879","4807440","4808141"
"271","4627295","4627316","4835659","4835810"
"272","4628547","4628739","4837041","4837046"
